,wokID,holeID,holeType,hexRow,hexCol,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz
166,flatNominal,R-4C5,ApogeeBoss,-4.0,4.0,-156.8,-77.5959,0,0,-1,0,1,0,0,0,0,1
167,flatNominal,R-4C6,Fiducial,-4.0,5.0,-134.4,-77.5959,0,0,-1,0,1,0,0,0,0,1
168,flatNominal,R-4C7,ApogeeBoss,-4.0,6.0,-112.0,-77.5959,0,0,-1,0,1,0,0,0,0,1
169,flatNominal,R-4C8,Boss,-4.0,7.0,-89.6,-77.5959,0,0,-1,0,1,0,0,0,0,1
170,flatNominal,R-4C9,ApogeeBoss,-4.0,8.0,-67.2,-77.5959,0,0,-1,0,1,0,0,0,0,1
171,flatNominal,R-4C10,Boss,-4.0,9.0,-44.8,-77.5959,0,0,-1,0,1,0,0,0,0,1
172,flatNominal,R-4C11,Boss,-4.0,10.0,-22.4,-77.5959,0,0,-1,0,1,0,0,0,0,1
173,flatNominal,R-4C12,Boss,-4.0,11.0,0.0,-77.5959,0,0,-1,0,1,0,0,0,0,1
174,flatNominal,R-4C13,Boss,-4.0,12.0,22.4,-77.5959,0,0,-1,0,1,0,0,0,0,1
175,flatNominal,R-4C14,Boss,-4.0,13.0,44.8,-77.5959,0,0,-1,0,1,0,0,0,0,1
176,flatNominal,R-4C15,ApogeeBoss,-4.0,14.0,67.2,-77.5959,0,0,-1,0,1,0,0,0,0,1
177,flatNominal,R-4C16,Boss,-4.0,15.0,89.6,-77.5959,0,0,-1,0,1,0,0,0,0,1
178,flatNominal,R-4C17,ApogeeBoss,-4.0,16.0,112.0,-77.5959,0,0,-1,0,1,0,0,0,0,1
179,flatNominal,R-4C18,Fiducial,-4.0,17.0,134.4,-77.5959,0,0,-1,0,1,0,0,0,0,1
180,flatNominal,R-4C19,ApogeeBoss,-4.0,18.0,156.8,-77.5959,0,0,-1,0,1,0,0,0,0,1
181,flatNominal,R-4C20,Boss,-4.0,19.0,179.2,-77.5959,0,0,-1,0,1,0,0,0,0,1
182,flatNominal,R-4C21,ApogeeBoss,-4.0,20.0,201.6,-77.5959,0,0,-1,0,1,0,0,0,0,1
183,flatNominal,R-4C22,Boss,-4.0,21.0,224.0,-77.5959,0,0,-1,0,1,0,0,0,0,1
184,flatNominal,R-4C23,ApogeeBoss,-4.0,22.0,246.4,-77.5959,0,0,-1,0,1,0,0,0,0,1
185,flatNominal,R-3C1,ApogeeBoss,-3.0,0.0,-257.6,-58.1969,0,0,-1,0,1,0,0,0,0,1
186,flatNominal,R-3C2,Boss,-3.0,1.0,-235.2,-58.1969,0,0,-1,0,1,0,0,0,0,1
187,flatNominal,R-3C3,ApogeeBoss,-3.0,2.0,-212.8,-58.1969,0,0,-1,0,1,0,0,0,0,1
188,flatNominal,R-3C4,Fiducial,-3.0,3.0,-190.4,-58.1969,0,0,-1,0,1,0,0,0,0,1
189,flatNominal,R-3C5,ApogeeBoss,-3.0,4.0,-168.0,-58.1969,0,0,-1,0,1,0,0,0,0,1
190,flatNominal,R-3C6,Boss,-3.0,5.0,-145.6,-58.1969,0,0,-1,0,1,0,0,0,0,1
191,flatNominal,R-3C7,ApogeeBoss,-3.0,6.0,-123.2,-58.1969,0,0,-1,0,1,0,0,0,0,1
192,flatNominal,R-3C8,Boss,-3.0,7.0,-100.8,-58.1969,0,0,-1,0,1,0,0,0,0,1
193,flatNominal,R-3C9,ApogeeBoss,-3.0,8.0,-78.4,-58.1969,0,0,-1,0,1,0,0,0,0,1
194,flatNominal,R-3C10,Boss,-3.0,9.0,-56.0,-58.1969,0,0,-1,0,1,0,0,0,0,1
195,flatNominal,R-3C11,ApogeeBoss,-3.0,10.0,-33.6,-58.1969,0,0,-1,0,1,0,0,0,0,1
196,flatNominal,R-3C12,ApogeeBoss,-3.0,11.0,-11.2,-58.1969,0,0,-1,0,1,0,0,0,0,1
197,flatNominal,R-3C13,ApogeeBoss,-3.0,12.0,11.2,-58.1969,0,0,-1,0,1,0,0,0,0,1
198,flatNominal,R-3C14,ApogeeBoss,-3.0,13.0,33.6,-58.1969,0,0,-1,0,1,0,0,0,0,1
199,flatNominal,R-3C15,Boss,-3.0,14.0,56.0,-58.1969,0,0,-1,0,1,0,0,0,0,1
200,flatNominal,R-3C16,ApogeeBoss,-3.0,15.0,78.4,-58.1969,0,0,-1,0,1,0,0,0,0,1
201,flatNominal,R-3C17,Boss,-3.0,16.0,100.8,-58.1969,0,0,-1,0,1,0,0,0,0,1
202,flatNominal,R-3C18,ApogeeBoss,-3.0,17.0,123.2,-58.1969,0,0,-1,0,1,0,0,0,0,1
203,flatNominal,R-3C19,Boss,-3.0,18.0,145.6,-58.1969,0,0,-1,0,1,0,0,0,0,1
204,flatNominal,R-3C20,ApogeeBoss,-3.0,19.0,168.0,-58.1969,0,0,-1,0,1,0,0,0,0,1
205,flatNominal,R-3C21,Fiducial,-3.0,20.0,190.4,-58.1969,0,0,-1,0,1,0,0,0,0,1
206,flatNominal,R-3C22,ApogeeBoss,-3.0,21.0,212.8,-58.1969,0,0,-1,0,1,0,0,0,0,1
207,flatNominal,R-3C23,Boss,-3.0,22.0,235.2,-58.1969,0,0,-1,0,1,0,0,0,0,1
208,flatNominal,R-3C24,ApogeeBoss,-3.0,23.0,257.6,-58.1969,0,0,-1,0,1,0,0,0,0,1
209,flatNominal,R-2C1,ApogeeBoss,-2.0,0.0,-268.8,-38.7979,0,0,-1,0,1,0,0,0,0,1
210,flatNominal,R-2C2,Boss,-2.0,1.0,-246.4,-38.7979,0,0,-1,0,1,0,0,0,0,1
211,flatNominal,R-2C3,ApogeeBoss,-2.0,2.0,-224.0,-38.7979,0,0,-1,0,1,0,0,0,0,1
212,flatNominal,R-2C4,Boss,-2.0,3.0,-201.6,-38.7979,0,0,-1,0,1,0,0,0,0,1
213,flatNominal,R-2C5,ApogeeBoss,-2.0,4.0,-179.2,-38.7979,0,0,-1,0,1,0,0,0,0,1
214,flatNominal,R-2C6,Boss,-2.0,5.0,-156.8,-38.7979,0,0,-1,0,1,0,0,0,0,1
215,flatNominal,R-2C7,ApogeeBoss,-2.0,6.0,-134.4,-38.7979,0,0,-1,0,1,0,0,0,0,1
216,flatNominal,R-2C8,Boss,-2.0,7.0,-112.0,-38.7979,0,0,-1,0,1,0,0,0,0,1
217,flatNominal,R-2C9,ApogeeBoss,-2.0,8.0,-89.6,-38.7979,0,0,-1,0,1,0,0,0,0,1
218,flatNominal,R-2C11,ApogeeBoss,-2.0,10.0,-44.8,-38.7979,0,0,-1,0,1,0,0,0,0,1
219,flatNominal,R-2C12,Fiducial,-2.0,11.0,-22.4,-38.7979,0,0,-1,0,1,0,0,0,0,1
220,flatNominal,R-2C13,Boss,-2.0,12.0,0.0,-38.7979,0,0,-1,0,1,0,0,0,0,1
221,flatNominal,R-2C14,Fiducial,-2.0,13.0,22.4,-38.7979,0,0,-1,0,1,0,0,0,0,1
222,flatNominal,R-2C15,ApogeeBoss,-2.0,14.0,44.8,-38.7979,0,0,-1,0,1,0,0,0,0,1
223,flatNominal,R-2C17,ApogeeBoss,-2.0,16.0,89.6,-38.7979,0,0,-1,0,1,0,0,0,0,1
224,flatNominal,R-2C18,Boss,-2.0,17.0,112.0,-38.7979,0,0,-1,0,1,0,0,0,0,1
